,country,score,topic,review,category,sentiment
130,United States,5,Working great!,"Glad I got the app, I have lost 6 pounds in 2 weeks! The app is encouraging and not negative where as the last app I tried was! Thanks",other,positive
131,South Africa,1,Search not working,"Search not working on fb, it boms out everytime i click on it.",bug report,neutral
132,Singapore,4,Press on!,Not bad. Start to match your competitors.,other,positive
133,South Africa,3,Who pinned it?,Don't like the new version at all. Can't see who pinned it.,bug report,negative
134,United Kingdom,5,Amazing,"I love this app, I lost about 3 pounds in 2 weeks by the intake of 1500 calories and exercise per day. I love the barcode scanner and how Accurate the app is, definitely recommended to everyone! Amazing",requirement,positive
135,South Africa,1,Re-download,I deleted my Facebook by mistake and now I am struggling to re-download it. What might be the problem because I need it back?�,bug report,neutral
136,United States,1,Change back to chronological order,"Instagram is horrible now because they don't show posts on my timeline in order, it's super random and all the pictures I see are pics I don't care about and the ones I do care about I don't see. You guys are a multi billion dollar company and your product right now is horrible fix it",requirement,negative
137,United States,5,Pinterest,I love it!!!!! It works great on my IPhone 6s!!!!!,other,positive
138,Hong Kong,1,Apps close automatically after update,"Please fix it asap 
Thanks",bug report,neutral
139,Australia,5,Love sharing photos on my travels,It is fun and easy. Love the quickness and friends know where I am.,requirement,positive
140,United Kingdom,5,Near perfect,"If it told you what lane to get into it would be perfect. 
So useful in big cities. Medium useful in the sticks where few people update and signal is bad. 
If it's the go to for cabbies it's good enough for me",requirement,positive
141,Singapore,5,Waze,Internationally reliable maps and gps,requirement,neutral
142,United States,1,Wish 0 stars was an option,"Way to go Pinterest, making another terrible update. Who thought removing the info of who pinned what pin on my feed was a good idea? I know! Your advertising department! Just another way you can push more ads without telling your user. I will be looking into alternative apps that don't shove advertising down users throats like you.",bug report,negative
143,Hong Kong,1,app,！ ⋯⋯�,noise,neutral
144,Singapore,4,Thumbs Up,Great social media. But will be much better if we're able to save the pics,requirement,positive
145,Singapore,1,Give us chronological order back.,chronological order PLEASE. Jesus.,requirement,neutral
146,Australia,4,But fix,So I just made an account but whenever I reopen the app it keeps coming back to the screen of recommended friends and won't let me change out of it could you please fix this soon,bug report,neutral
147,United Kingdom,2,This app kill my web terafick,This app kill my web traffic why ???!!!!,bug report,neutral
148,Hong Kong,1,Bad,"Why one contact no.  is used in different devices at the same time. Why no recall messages feature. Perhaps, it is added ""multiple account or contact"" instead.
P.S.: I don't think WhatsApp's staffs will read and improve those comments. Usually, they ignore.",requirement,negative
149,Canada,5,decent app compared,"Like a few pics, get a some coins, use the coins to get instagram likes and followers on your pics It's a pretty decent app compared to many others out there",other,positive
150,Singapore,1,Images not loading recently,"Like other users, encountering newsfeed images not loading properly recently",bug report,neutral
151,India,4,improvement,best app bt provide some more 3d touch features,requirement,positive
152,Canada,3,DM Problem,"Every damn time i send a picture to a group, my entire instagram crashes! When I open it, it goes straight to my home screen so I have to always delete it and reinstall every damn time! Please fix this!",requirement,negative
153,Canada,3,Could be better,Instagram was muuuuucccchhh better when my feed was in chronological order. I find it difficult to keep up with people when I don't see half of the posts. Please switch back to chronological,requirement,neutral
154,India,1,Removal of friend request section!,Cant see who sent requests or accepted it. Poor step in app!,bug report,negative
155,Singapore,1,After Upgrade,The latest filter kept blinking. Cannot detect my face.,bug report,neutral
156,Australia,1,Push notification settings cant be changed,"The push notifications page is buggy, I select off and it reverts back to other options. Happen to all push notifications settings",bug report,neutral
157,United Kingdom,4,****,Love it!,other,positive
158,India,5,Whatsapp avoid distance between heart to heart,I enjoy the service,other,positive
159,Canada,5,Great App,Very helpful & informative.,other,positive
160,Canada,3,Nice,"It's nice app but since Facebook take over a lot of issues
We are experiencing issues with the connection since the last update",bug report,positive
161,United States,5,Second best invention (right behind air),Never misses by more than 2 minutes. You could set your watch by it!,requirement,positive
162,India,3,A good messaging app but...,"10-5-2017: Its all fine now. But when can we expect the app lock update? Common guys, touch ID is open to Dev's since iOS8

26-5-2017: Almost every year, around this time... there are glitches. Now the app doesn't download videos or pictures. It starts and then stops. This is happening to many i know for the last 3-4 days. Common guys, where is the fix?

1-6-2016: After yesterday's update, the app keeps crashing with a white screen. Why release a buggy update and loose credibility?? U guys are now making us think of different options.

20-4-2015: Passcode or Fingerprint lock for the App is one of the most requested features and i hope they release it in their next update.",requirement,positive
163,United States,5,I couldn't be so close to friends family if it wasn't bcs of you,"I honestly LOVE this app, it has brought me to a better understanding of where my love members are at ! By pictures and videos!  You guys have done a great job at upgrading as well even though I would like more filters ! Or just something surprising ! But other than that everything is perfect! Love you all",requirement,positive
164,Hong Kong,1,post,post,noise,neutral
165,United States,1,Best Nav app out there.... when it works,"Which doesn't seem to be very often lately. When waze does work it is awesome, it gives live traffic updates and locations of road closures and police, all reported by other users. But it only does this when it can connect to the ""network"". More often than not waze says ""Searching for Network"" in red at the top of the screen and all of the stuff that makes waze better doesn't work. This happens to me all time, even with full bars of 4G. There is no point to using waze if it doesn't work.",requirement,positive
166,Singapore,1,,o0o,noise,neutral
167,United States,4,Teamwork is key.,"Very useful if people ""alert"" there surroundings, other wise it's just another google maps but I like it. 🔥🤷🏽‍♂️",requirement,positive
168,United States,5,The best,❤️❤️❤️❤️,other,positive
169,Hong Kong,1,Can't see comments,"What's wrong with the app???
Isn't the IT team actually wants us delete the app and start using other social media apps??",bug report,negative
170,United States,5,Always gets me around LA without pulling my hair out!,Great app for getting around LA on sidestreets.,other,positive
171,Australia,5,Love it,Love seeing all the images,other,positive
172,United States,1,No sound,None of the videos have sound/music anymore :(  PLEASE FIX!!!,bug report,negative
173,Australia,1,Using battery,"Your latest update is chewing up phone batteries again...and yes everything is turned off. Don't use auto play, notifications are off, location services are off...fix it 😡😡",bug report,neutral
174,Hong Kong,2,,,noise,neutral
175,Australia,1,STOP REFRESHING,"Stop refreshing the page every freaking time I open the app!! I am in the middle of writing a comment, switch to another app to check something for 5 seconds, come back and you deleted my entire comment and take me to the home page!! You are destroying this app. Not using it again until you fix this epidemic",bug report,negative
176,United Kingdom,4,Good,Top,other,positive
177,India,5,Nice app,Awesome,other,positive
178,United States,4,PLEASE UPDATE!!!!!,"When posting multiple pictures in 1 post, why do all of the pictures have to be in Square mode??! I want to be able to see full pictures. Please change that. Thanks",bug report,neutral
179,United Kingdom,1,�,Since the update it keeps freezing when I'm trying to up load pics and just in general. Please fix �,bug report,neutral
180,Hong Kong,1,Failed to share the post to Facebook �,"I can't share any post to Facebook!!!! I have checked all my settings are all right, but all my post on Instagram can't show on my Facebook wall, PLEASE FIX THIS ASAP!!! 😤😠😡💢",bug report,negative
181,Hong Kong,1,Search function,"I wonder if the search history function has gone. If so, I do hope you can bring it back for the next version (well, the sooner the better). That would be a lot more convenient to trace past messages with keywords! Thank you :)",requirement,positive
182,Australia,5,Great app,It's an awesome app when you know how to use it :),other,positive
183,Canada,5,Great!!,I gave this app 5 stars because of its features,other,positive
184,India,5,Cool,Very nice n love new features,requirement,positive
185,United States,1,Hate last update,"Well it won't let me post statuses or in any groups have to open an shut and it is so annoying !! Last update is crap , closes out and have to start over too !!! Frustrated !!!",requirement,negative
186,Canada,5,Amazing app.,Gets me to my destination no matter the traffic!,other,positive
187,Hong Kong,1,,？,noise,neutral
188,South Africa,3,App isn't working in PTA South Africa,"The app is amazing but for some reason me, and a lot of the people I live with, are having issues with the app (only today though), it won't allow us to send or receive messages, just letting you know (:",bug report,positive
189,Canada,5,Great app,"I own TomTom, but rely on Waze exclusively in Canada and Europe.",other,positive
190,United States,2,Stop Freezing,"My Facebook keeps freezing. And it's happening about 5-10 times a day. I have to quit the app and reopen it to get it in frozen. I have been keep the app up to date and just got a new phone and it still happening. It is quite annoying. 
And my feed is a day behind have the time. 
Just Frustrating!",bug report,negative
191,South Africa,1,Cant go in whatsapp it kick me out to main screen,I updated to new version for ios it kick me out when i go in it cant even view anything fix this ASAP,bug report,neutral
192,India,1,Hojo,Plz solve the problem of story,bug report,neutral
193,Singapore,1,Updates,I can't even load or even read and send message out . Why is all this unnecessary updates going on ? Isn't the last update better ? It's getting slower and also worst . I could not even reply and send message . How should I even suppose to do .,bug report,negative
194,South Africa,1,Broken,Keeps crashing when I go to a group. Or a shoot,bug report,neutral
195,United States,1,Missing tons of features!,"- No self-destruct messages.
- Can't save more than 5 photos/videos at once to Camera Roll.
- Can't disable group/voice read receipts.
- App freezes/stutters while downloading lots of media.
- Video being played is interrupted once a background download finishes. VERY ANNOYING!!
- Even after clearing up all chats, app still keeps lots of undeletable stuck data.
- Can't clear all media and keep only text chats (no granular ""clear all chats"").
- No iPad / Apple Watch / iMessage support.
- Can't backup only text to iCloud (no granular backup).
- Swipe for media gallery shortcut removed.
- Archived messages confusing implementation.
- No background send from other apps (have to wait for the progress bar to complete).
- Can't search inside individual chats.
- Confusing ""all starred chats"" UI inside settings: make it like a regular group so we can have all the group features (mass share/save/select-",requirement,negative
196,Hong Kong,1,Can't upload the photos!,I can't upload photos after the new update version!Please fix it!!!,bug report,neutral
197,India,4,It's fun (boomerang),The insta story clarity can be made better ..,bug report,positive
198,Australia,3,Forced to download app,I don't use Pinterest often and I feel like I am being forced to download this app when I am looking for images online.,bug report,neutral
199,Singapore,3,Not bad,Hope more stable,requirement,neutral
200,India,4,Professor Vijayaraghavan Chariar,"I find the app quite user friendly and intuitive. I continue to face some niggles such as being unable to tag some of my closest friends, for which I am yet to find a solution. Would appreciate some support from Facebook to solve this issue.",requirement,positive
201,India,1,Glitches,"The dm is glitchy and texts don't get sent plz resolve the problems
Such a famous social media and works like shitt plz resolve the problem",bug report,negative
202,Hong Kong,1,up,up,noise,neutral
203,Canada,1,Last update has locked up my Pinterest app,Can't use my Pinterest on my iPad.  It just blinks and says cannot authorize.....fix it please,bug report,neutral
204,United Kingdom,1,New update,"Rubbish, says I have notifications but won't show me what they are.",bug report,negative
205,India,1,Wrost ever iOS application i've seen now a days,"Ask your Facebook paper team to tack charge to develop fb mobile app. Low quality views slides page navigation.
Worse messenger integration. stop forcing people install separate messenger app until you develop good quality great user interface awesome slide moves integrated  app. Till the re release that blob chat option in main app.",bug report,negative
206,India,5,Great WhatsApp,Simply superb.,other,positive
207,United States,5,This a very reliable app and most of the time gives you accurate time,5 stars,requirement,positive
208,India,4,Achuthehater,In recent update im not able to get stickers of days for my story. need quick fix . im using iphone5,bug report,neutral
209,United Kingdom,5,Perfect,It's all you will ever need to get from A to B and back again. Stop reading this and download.,other,positive
210,Hong Kong,1,Connecting until when,"It's down for a day 
Connecting for what?",bug report,neutral
211,South Africa,5,Facebook,Its okay �,other,positive
212,India,4,Multiple photos,Multiple photos must be updated to at least  20 photos at a time which will help me and other photographers to post their photo albums more easily,bug report,neutral
213,India,5,Awesome !!,Loving it. Connecting with friends and family and other peoples !!,other,positive
214,United Kingdom,5,I am loving this app.,"Great navigation, correct every time.",other,positive
215,United Kingdom,5,Great,Great app,other,positive
216,United Kingdom,4,Good,Good but needs improving as gets a little boring,bug report,positive
217,Hong Kong,2,Why remove the Location Layout function?,"I hope the function of Map Layout for my own posts can be restored. 

Today i found the Map Layout function has been removed, which made me feel really upset because i think this function is really cool. Because i like travelling in HK (my home indeed), and i would post a photo of the place i visited on my Instagram, and i would tag the place into the photo. I enjoy browse the Map Layout to see the pots i have been there. It's really awesome and satisfying to let me see my travelling diary in HK (and other places on the earth) through the map. Frankly, this function even has made me love Instagram and start not to use facebook to share my travelling (i used to be facebook user frequently).

Plus, i hope the posted photos and videos quality can be improved. My photos and videos were taken by camera in high quality, but they could't be shown in the posted photo in the app.",requirement,neutral
218,Hong Kong,1,,iTunesStore ， ，,noise,neutral
219,India,5,Ok,Very very very useful,other,positive
220,Australia,1,Annoying!! Please stop,"Too many updates that aren't really helpful and now every few videos I watch completely freezes my phone to the point I can't do anything to get out of the app besides a hard reset. Please fix bugs before adding ""features"".",bug report,negative
221,Australia,1,Better off with the web version,"Huge app, clunky and can't customise views easily. Too many updates for what seems 0 reason.",bug report,negative
222,Australia,5,Love it.,Have been using Instagram for some years now. I have not had any problems with it. Always found it very easy to use and great fun. Easy to load pictures etc. It's a great app.,requirement,positive
223,United Kingdom,1,No posts to show !!!!!,"What on earth is going on with f/b , all I get now is .... no posts to show !!!! , going to delete the app",bug report,negative
224,India,2,Unable to share pics from gallery.,"I am unable to share pic(s) from my photo gallery to any group or individual. This is happening right after updating to the current version. 
Not sure if this is only with my device.",bug report,neutral
225,United Kingdom,5,First timer,"Decided to invest in some tech to help me achieve my healthier lifestyle choice goals following a heart attack. Went for Fitbit charge 2. Early days but experience so far:
1. Easy to set up
2. Easy to customise and makes you think about your goals with simple questions to establish a target
3. Easy to read and well laid out dashboard, which is some achievement given volume of data.
4. Some interesting tips and video links to help sustain motivation

So far, so good. Looks good as well.",requirement,positive
226,United Kingdom,1,No customer support,"Every time I add to my profile my account gets disabled. I sent a picture as requested over 2 weeks go and it's still not been reviewed and there is no way to
Message Facebook about the problem!!!!",other,neutral
227,Singapore,5,awsome apps,awsome apps,other,positive
228,United States,5,Criss Arevalo,5712497221,noise,neutral
